Profile,Profile_no,Stage,Datetime,Latitude,Longitude,MLD,Sun_angle,Kd380,Kd443,Kd490,Kd555
35,35,190,08-Jan-2024 04:31:05,55.081281,14.4477401666667,14.8,-23.4224753033883,NaN,NaN,NaN,NaN
35,35,590,08-Jan-2024 06:01:06,55.0828355,14.4201073333333,13.4,-11.01836561128,NaN,NaN,NaN,NaN
36,36,190,08-Jan-2024 06:26:19,55.0828355,14.4201073333333,17.8,-7.7704296142676,NaN,NaN,NaN,NaN
36,36,590,08-Jan-2024 07:58:03,55.0888168333333,14.396055,16.4,2.59897388439632,NaN,0.390633331748982,0.23838889164757,0.212668611868703
37,37,190,08-Jan-2024 08:23:50,55.0888168333333,14.396055,21.4,4.99622122489056,NaN,0.380255938394928,0.24461626118343,0.223295961990978
37,37,590,08-Jan-2024 09:54:21,55.0942323333333,14.3783213333333,21.8,10.997845494791,1.0649269373343,0.401181118527045,0.267084511237226,0.237939054482168
38,38,190,08-Jan-2024 10:21:33,55.0942323333333,14.3783213333333,25.8,11.9650465227068,1.08511521135557,0.390371271406381,0.220830402656544,0.192168884077689
38,38,590,12-Jan-2024 12:35:32,55.1077561666667,14.3994393333333,17,11.0967272492472,1.12081872096073,0.404809083141706,0.235702308272222,0.202415529957245
39,39,190,12-Jan-2024 13:05:14,55.1077561666667,14.3994393333333,18.8,9.40951985442748,1.130606560698,0.396329815436867,0.21506507984343,NaN
39,39,590,17-Jan-2024 12:31:31,55.1824141666667,14.5713333333333,24,12.1486681763059,NaN,0.385563299940711,0.225940446185196,0.192861368959532
40,40,190,17-Jan-2024 13:03:46,55.1824141666667,14.5713333333333,29.8,10.3698561793283,NaN,NaN,0.202219369717289,0.172690887180809
40,40,590,22-Jan-2024 12:46:32,55.2052951666667,14.572354,39.8,12.480710793878,NaN,0.409863026155198,0.234563204191427,0.197019232086126
41,41,190,22-Jan-2024 13:14:59,55.2052951666667,14.572354,40,10.7226222037619,NaN,NaN,0.223258287828129,0.185432673829068
41,41,590,27-Jan-2024 12:46:56,55.3440503333333,14.5858831666667,35,13.573101376421,1.09708615634117,0.355777071738713,0.185454145704278,0.150967291132872
42,42,190,27-Jan-2024 13:12:09,55.3440503333333,14.5858831666667,33.4,12.0328808730223,1.0698107064117,0.35818891255717,0.189793177733368,0.155372352133047
42,42,590,01-Feb-2024 12:37:03,55.336435,14.5862381666667,38,15.4571022127341,NaN,0.394684825004264,0.221867826467387,NaN
43,43,190,01-Feb-2024 13:02:54,55.336435,14.5862381666667,38,14.0028814535585,NaN,0.412539009988355,0.246376545353788,NaN
43,43,590,06-Feb-2024 12:08:50,55.355997,14.5660921666667,29,18.0777529749762,NaN,0.372429388376498,0.199896373395605,0.168693209783397
44,44,190,06-Feb-2024 12:40:13,55.355997,14.5660921666667,36.8,16.7555346591766,1.02883248440059,0.402075910721379,0.218505935595367,0.187889481678763
44,44,590,07-Feb-2024 03:10:34,55.4223356666667,14.6029428333333,34.2,-30.2488479827656,NaN,NaN,NaN,NaN
45,45,190,07-Feb-2024 03:42:21,55.4223356666667,14.6029428333333,NaN,-25.8696447527968,NaN,NaN,NaN,NaN
